gene,pseudo_bulk_GSE156326 hypertrophic scar 1,pseudo_bulk_GSE156326 hypertrophic scar 2,pseudo_bulk_GSE156326 hypertrophic scar 3,pseudo_bulk_GSE156326 normal skin 1,pseudo_bulk_GSE156326 normal skin 2,pseudo_bulk_GSE156326 normal skin 3,pseudo_bulk_GSE163973 KF1_matrix,pseudo_bulk_GSE163973 KF2_matrix,pseudo_bulk_GSE163973 KF3_matrix,pseudo_bulk_GSE163973 NF1_matrix,pseudo_bulk_GSE163973 NF2_matrix,pseudo_bulk_GSE163973 NF3_matrix,pseudo_bulk_GSE181297 Keloid 1,pseudo_bulk_GSE181297 keloid 2,pseudo_bulk_GSE243716 hypertrophic,pseudo_bulk_GSE243716 keloid,pseudo_bulk_GSE266334 keloid 1,pseudo_bulk_GSE266334 keloid 2,pseudo_bulk_GSE266334 keloid 3,pseudo_bulk_GSE266334 normal skin 1,pseudo_bulk_GSE270438 keloid scar 1,pseudo_bulk_GSE270438 keloid scar 2,pseudo_bulk_GSE270438 keloid scar 3,pseudo_bulk_GSE270438 normal scar 1,pseudo_bulk_GSE270438 normal scar 2,pseudo_bulk_GSE270438 normal scar 3,pseudo_bulk_GSE303592 keloid,pseudo_bulk_GSE303592 normal,pseudo_bulk_GSE307504_keloid,pseudo_bulk_GSE_188952_Hypertrophic scar_2,pseudo_bulk_GSE_188952_Hypertrophic scar_3,pseudo_bulk_GSE_188952_Hypertrophic scar_4,pseudo_bulk_GSE_188952_Hypertrophic_scar_1,pseudo_bulk_GSE_188952_hypertrophic scar_5,pseudo_bulk_GSE_188952_keloid scar_1,pseudo_bulk_GSE_188952_keloid scar_2,pseudo_bulk_GSE_188952_keloid scar_3,pseudo_bulk_GSE_188952_keloid scar_4,pseudo_bulk_GSE_188952_normotropic_scar_1,pseudo_bulk_GSE_188952_normotropic_scar_2,pseudo_bulk_GSE_188952_normotropic_scar_3,pseudo_bulk_GSE307504_hypertrophic
NOC2L,533,394,1051,19,561,137,2117,2062,1960,1199,2654,2678,4530,2000,3203,2289,1207,384,1526,839,781,289,644,1683,625,615,1268.0,1052.0,168,1206,1179,1198,1072,1200,808,306,733,556,1583,1319,1733,635
HES4,1039,1667,3368,83,523,119,7052,7678,11582,4241,8230,3518,13555,8487,12015,8714,1954,617,485,742,3309,370,1281,4032,1896,1574,10850.0,2878.0,325,100,102,130,72,152,42,12,41,46,134,168,163,2410
ISG15,1541,2393,6498,7,652,89,13461,7094,13002,9715,6626,2871,22057,12470,16582,15276,4752,2526,7070,5752,8623,1803,5098,18701,4318,5917,12107.0,7685.0,727,54,52,64,37,207,27,6,28,32,32,20,55,1745
AGRN,106,136,313,24,62,9,1301,1205,2008,881,881,631,3043,1997,2574,1945,688,91,48,53,242,89,118,668,239,193,1485.0,396.0,108,2343,1955,2267,2138,2826,1271,669,1253,993,1659,2669,2930,961
C1ORF159,77,64,155,6,53,17,319,346,354,165,348,229,1213,494,970,579,273,139,170,139,207,61,171,314,151,123,304.0,225.0,44,100,90,138,75,112,78,66,63,58,100,122,152,264
TNFRSF18,447,181,519,16,435,133,744,1373,639,584,2816,3800,2257,280,966,406,1499,1286,6667,2872,4010,1622,3390,7511,3729,3266,518.0,3853.0,9,6,6,17,2,10,9,4,5,13,12,20,18,37
TNFRSF4,216,111,258,6,100,50,242,231,847,516,419,157,1006,577,1328,638,792,686,6872,1042,3150,821,1844,5191,3130,1580,785.0,2535.0,36,10,4,16,6,16,7,9,9,3,11,18,18,101
SDF4,2470,2176,5114,80,1041,165,6249,6233,9043,7677,6781,3701,20128,14027,11115,17148,4404,1397,4761,2711,2965,985,1963,5871,2905,1989,4807.0,3463.0,1848,2388,1687,1695,1694,2048,978,243,1004,651,1632,1762,2131,4967
UBE2J2,658,516,1246,20,398,88,1965,1826,2944,1692,2241,1829,6886,3065,3803,3527,1381,526,2717,1082,1051,349,847,2884,1008,795,2251.0,1721.0,312,470,511,511,421,444,258,225,302,241,589,641,582,1092
ACAP3,359,233,599,29,247,83,854,1475,1398,760,1493,1185,3532,1855,1741,1511,428,168,314,330,619,219,412,981,455,374,836.0,525.0,154,964,746,942,845,892,635,271,501,361,915,1208,1596,1468
PUSL1,174,105,605,10,72,15,885,711,1368,461,987,624,2557,1555,1132,1575,316,161,722,386,658,190,413,1203,524,384,767.0,537.0,119,84,78,72,68,49,44,48,76,43,86,94,104,289
CPTP,228,196,409,5,104,35,1042,643,1136,673,736,424,2128,1188,1319,1093,266,150,543,205,304,112,187,594,331,207,747.0,699.0,144,106,56,80,54,98,27,25,36,43,126,130,162,467
DVL1,94,103,495,33,61,13,997,762,1288,572,1257,841,3109,1884,1697,1351,654,167,308,183,368,117,222,607,342,277,799.0,604.0,162,584,539,696,628,614,399,214,376,223,787,848,920,792
MXRA8,2999,2567,12098,104,1408,247,9174,7775,18023,14888,12416,3076,24262,41196,7171,34407,1758,194,171,1611,983,316,291,1261,1424,111,7224.0,3365.0,4405,5137,4739,3957,3413,4268,2036,926,2801,1897,3256,2585,4732,11953
AURKAIP1,1828,2065,4826,48,1157,155,9140,6629,11783,6821,9541,6880,28205,13374,13183,14490,4749,1465,9203,3961,4196,1207,3439,11308,3794,3258,9275.0,6244.0,526,274,210,188,178,208,69,42,116,77,270,232,268,1720
CCNL2,752,587,1571,25,731,174,3505,3395,5080,1974,3813,2657,5940,3819,9076,4785,2263,984,2273,1541,2742,1126,1757,4376,1878,1546,3712.0,2489.0,532,3969,3122,4628,3245,3211,2727,1918,2178,1817,3633,5648,5115,3007
MRPL20,1515,1789,4467,18,962,144,6059,4197,7862,5098,7278,4760,25449,10399,14573,13735,4752,1689,9892,2789,2480,688,2208,7035,2616,2059,8411.0,5849.0,1226,419,415,455,376,381,229,108,257,192,535,477,530,2018
ANKRD65,99,108,379,5,25,9,716,444,798,799,855,510,799,1825,1034,1209,538,72,48,88,18,33,60,153,108,64,398.0,346.0,131,15,33,14,28,4,9,6,14,7,35,20,44,357
VWA1,401,348,1149,29,145,53,7343,4874,8643,2719,2658,1413,14634,5975,14391,6885,4532,466,172,93,269,49,201,748,255,241,3629.0,3189.0,237,83,81,132,102,82,19,6,46,29,94,136,129,1698
ATAD3B,163,75,349,8,79,33,697,892,1114,390,711,607,1490,830,1064,864,412,147,411,230,598,168,332,998,338,366,453.0,450.0,88,1167,948,1160,983,895,914,351,684,447,996,1177,1426,825
ATAD3A,188,179,640,15,100,29,869,944,1475,664,763,747,3022,1963,1187,1725,476,90,469,264,373,117,232,1071,284,282,762.0,467.0,98,1240,1110,1137,1335,832,839,284,732,355,1123,824,1201,631
